username,handle,postDate,responding,retweets,likes
Jennifer Lopez Paraguay,@jlopy_,2022-05-23T01:56:57.000Z,"Según el nuevo algoritmo de YouTube, las partes más vistas del vídeo del Super Bowl de 
@JLo
 y 
@shakira
 son:

-El dance break de Jlo con ""El anillo/Que calor""
-Jlo cantando ""Let's Get Loud"" junto a su hija Emme.
-Jlo y Shakira cantando ""Let's Get Loud"" y ""Waka Waka"" juntas.",34,118
Normi,@NegraNor,2022-05-20T14:42:04.000Z,"Obviamente que me importa tres hectáreas de nada el censo argentino pero me quedo re enganchada con todas las historias y memes que surgieron…
Encima le di me gusta a uno y el algoritmo me muestra 100 ",,
Viktor,@VIKTORARCE,2022-05-07T16:54:36.000Z,El algoritmo detecta amenazas.,,
Viktor,@VIKTORARCE,2022-04-29T17:45:13.000Z,El algoritmo no permite decir que es por la vacu,,
Hernán Martínez,@hernanruben,2022-04-24T02:39:05.000Z,"El algoritmo de esta red es jodido, pero predecible. Falta fuerza de voluntad nomás. Y se está juntando.",,
Luis Acosta,@SirLuicho,2022-04-22T17:09:07.000Z,"¡Me chupa un huevo el algoritmo. Poneme el fucking precio, la puta que te parió!",1,
Marcelo Gabriel,@MarceGabriel_Py,2022-04-08T21:01:45.000Z,"Replying to 
@fabioaraujopy",,
Fabian,@oveja_espacial,2022-03-19T04:49:41.000Z,"Uber tiene problemas en todos los países, y depende de las características. En EEUU y Europa son las pocas ganancias d emos conductores y el algoritmo que les hace trabajar varias horas y penaliza a los que no se autoexplotan, casos de acoso, asesinato, etc, hay por todos lados..",6,5
Normi,@NegraNor,2022-03-16T03:26:22.000Z,"“Sad songs for cry for an hour”
Gracias algoritmo de YouTube por la ayuda ",,1
Figu Martinez,@FiGuM83,2022-02-28T20:44:14.000Z,"Replying to 
@christianchena
 and 
@Hugobie",,2
Samuel,@TeoSara27,2022-02-16T17:13:25.000Z,"Replying to 
@gordiporerror",,1
mr. Brightside to side,@guilleconbarba,2021-12-30T21:03:21.000Z,"Ahora burn twitter burn

La verdad al pedo el escandalo no se vé mi Pikachu, solo un poco vello púbico recortado y eso ya detecta el algoritmo de mierda de instagram ",,
mr. Brightside to side,@guilleconbarba,2021-12-28T16:59:43.000Z,Impre como el algoritmo de instagram realmente censura segun estética hegemónica.,,6
Fernética,@lilosinstitch_,2021-12-24T03:28:47.000Z,Cómo puta lo que es el algoritmo de la vida real así para que te des cuenta de lo mucho que te quiero reventar a besos ah,,
Daniel Perez,@danielperez_py,2021-12-21T22:08:51.000Z,"Replying to 
@danielperez_py
 and 
@EMariaLa7",,
Daniel Perez,@danielperez_py,2021-12-21T22:01:56.000Z,"Replying to 
@danielperez_py
 and 
@EMariaLa7",,
Barbie copiloto,@tetopedrozza,2021-11-30T02:45:58.000Z,Quiero que el algoritmo de instagram me muestre animalitos nomas ya en vez de random puto pelando fisico en el gym.,1,10
Alfredo Guachiré,@GuachireM,2021-11-28T14:28:00.000Z,"No sé cómo el algoritmo de facebook me sugirió un ""diplomado en provida"". Bueno, soy defensor de la vida, pero no desde la visión de Agustín Laje.",1,23
