username,handle,postDate,responding,retweets,likes
Ismael_py,@IsmaelFromSpace,2022-06-24T10:35:20.000Z,"Utopía, 
Proyecto, deseo o plan ideal, atrayente y beneficioso, generalmente para la comunidad, que es muy improbable que suceda o que en el momento de su formulación es irrealizable.

*A no ser de que sea entre robots, suprimiendo el libre albedrío.",,
lahijadelfletero,@con_el_animal,2022-06-21T18:42:09.000Z,"Replying to 
@iamdoomling",1,6
Oliver,@Oliveeerius,2022-06-19T19:40:45.000Z,"Les recomiendo 1000 la serie Love, Death & Robots, en Netflix... Por fin encontré entretenimiento de nuevo en esa plataforma",1,4
Stiven Quinonez,@stiven_qui,2022-06-15T23:09:44.000Z,"Replying to 
@CamiRVaccaro",,
Lichy♡,@LichyLichy1,2022-06-08T23:59:32.000Z,"Replying to 
@christianmiami1",,
nadia ramirez,@Nayi_91,2022-06-04T00:42:05.000Z,"Tengo en la cabeza solo el coro de la canción de Shak hablando como robot... 

Te fe li ci to que bien ac tu as",,
Rebeca Albos,@AlbospinoRebeca,2022-05-30T03:26:35.000Z,"Obsesionada MAL con la serie Love, Death and Robots ",,
Marcial Agapito,@agapito_marcial,2022-05-29T12:27:30.000Z,"Replying to 
@CinthiaRolonC",,
Gus,@gusortigoza,2022-05-22T23:50:14.000Z,"Love, Death & Robot es lo mejor de netflix en animación. Te explota la cabeza.",,3
Megumi,@megumi2606,2022-04-13T21:48:34.000Z,"Ahora viendo el noticiero dw 
@nhk_news
, la explicación de las noticias los hace un robot con AI... Solo los presentadores son humanos ",,
@malibufloplu,@malibufloplu,2022-04-13T02:52:58.000Z,Se tenía que quedar a hacer el pasito robot nomas  https://twitter.com/2Dooodles2/status/1514061124022509572…,,5
cinnamon girl,@nicolesamudio,2022-04-03T05:36:39.000Z,estoy llorando viéndole a marina en el lollapalooza brasil cantando ‘i am not a robot’ pensando que nunca la voy a ver en concierto.,1,1
Tarjis,@dAnngelise,2022-04-01T17:22:05.000Z,"Replying to 
@DrEricDing",,
Magui,@magui_turlan,2022-03-29T21:01:47.000Z,"Replying to 
@guttifarra",,
Guillermo Silva,@Guistuna27,2022-03-28T01:43:13.000Z,"Replying to 
@NetflixLAT",,1
Preciosa Cristaldo,@CristaldoMiryan,2022-03-25T12:41:09.000Z,"Replying to 
@ANDEOficial
 and 
@AEP_News",,
Jorge Gustavo Ocampos Cáceres,@j_ocaceres,2022-03-08T16:16:05.000Z,"Replying to 
@ElExtrabase
 and 
@porlagoma",,
Preciosa Cristaldo,@CristaldoMiryan,2022-03-08T12:43:51.000Z,"Replying to 
@EssapSA",1,
Jorge Gustavo Ocampos Cáceres,@j_ocaceres,2022-03-08T11:55:23.000Z,"Para 
@FOXDeportes
, 
@FOXDeportesNews
 y producción. #MLBenFD. En este día, si particularmente fuera el comisionado, incluiría a mujeres como umpires que esos robots desde las Menores en adelante y devolvería la esencia del béisbol.",,
Jorge Gustavo Ocampos Cáceres,@j_ocaceres,2022-03-08T11:44:24.000Z,"Replying to 
@elfildeo",,1
Yoli,@medinayoli_,2022-03-05T21:32:01.000Z,"Yo sé que el cliente no tiene la culpa de que no me vaya a la cancha pero como un sábado de tarde me van a enviar facturas y romperme los huevos con algo que se puede solucionar en mi horario de oficina?
NO ESTOY DE HUMOR Y TAMPOCO SOY UN ROBOT QUE TRABAJA 24HS DE LUNES A LUNES",,1
Yayi Cámara,@yayicamara_,2022-03-05T02:50:15.000Z,"Replying to 
@lidiogonzalez",,1
Preciosa Cristaldo,@CristaldoMiryan,2022-03-01T16:41:36.000Z,"Replying to 
@ANDEOficial",,
Preciosa Cristaldo,@CristaldoMiryan,2022-02-23T17:39:41.000Z,"Replying to 
@ANDEOficial",,
rody los lupis,@loslupis,2022-02-10T20:14:18.000Z,Robot o pescaditos celestes,,1
Marcelo Rolón,@rolon_mdA,2022-02-05T19:14:07.000Z,El robot para Paraguay,,1
Oscar Rafael Ortega,@OscarRafaelOrt8,2022-02-04T13:53:47.000Z,"Arcoiris, la empresa del sector alimentos, está cerca de dar un paso gigantesco al implementar el uso de robots en los procesos de producción, que ayudará a cumplir con la alta demanda de sus productos a nivel local e internacional. Revista 
@RevistaFocoPy",70,755
Yoli,@medinayoli_,2022-02-04T12:07:08.000Z,"No hay necesidad de que me llamen a las 11 de la noche para decirme que el timbrado de su factura ""ESTÁ POR VENCER"" Odio que no respeten el horario en mi corazón me duele que me llamen fuera del horario de oficina, SOY UN SER HUMANO NO UN ROBOT QUE FUNCIONA 24HS",,5
Nadia de Apellido Guerrero,@Nadiatiti,2022-01-26T10:21:42.000Z,"Replying to 
@Osval81790931",,1
Alberto Castillo,@Betto7144,2022-01-17T13:52:03.000Z,"@ItauParaguay
 Que verguenza la atención del call center ,aparte de que te colocan un asesor de cuentas, el tipo no responde ni aparece  y llamas al call y te atiende un robot , el procedimiento dicen, que mal estamos burocracia hasta en la banca privada agante me va tocar.",,
Raúl B. Netto,@rbnetto13,2022-01-08T01:07:13.000Z,Perdón robots.txt,,
Rita,@RITA24313983,2021-12-29T22:48:46.000Z,"Replying to 
@ElJuez44109845
 @julitosantagol
 and 
@RoqueSantaCruz",,
Sole Franco,@SoleFranco1979,2021-12-26T17:39:46.000Z,Jena es espectacular. Pide que no le tengan miedo a los robots.,,1
LuciaBittar,@lucelucecita,2021-12-23T15:54:55.000Z,Cual es la marca del robot aspiradora ?,,1
Tita Rodriguez,@TitaRodriguez86,2021-12-10T21:36:11.000Z,"Una vez más aplazados en SALUD MENTAL! LOS MEDICOS SON PERSONAS NO ROBOTS, BASTA DE ABUSOS CON LA CARGA HORARIA!",,1
Antito,@antonarvaez,2021-11-29T14:11:57.000Z,"No pueden ponerle un nombre mas dramático y menos hollywodiense a la variedad esta del virus:""Ómicron"" le pusieron. Cual robot de Transformers",,
Kitty Torres,@Kristhel_Torres,2021-11-26T16:41:40.000Z,"Replying to 
@alecitd",,1
Lulú V.,@lulu_py,2021-11-11T19:32:34.000Z,"@TigoParaguay
 qué pasó con el Chat online??? 
No quiero escribirme con el robot de WhatsApp...",,
Carlos Maximino Almiŕon Gonzalez,@AlmironMaximino,2021-11-02T23:14:34.000Z,Soy el esposo de jill ya lo sabemos mr robot jaja,1,2
Rodrigo Villamayor,@rodrigovilla,2021-10-28T02:05:26.000Z,Poco se habla de Mr. Robot. Esa es LA serie!,,
Angel Gabriel,@agds91,2021-10-26T14:47:00.000Z,"El #Robot de 
@puntofarmapy
 al intentar leer la receta del Doctor. 
@ABCDigital",,
Kikeeeks,@Kike_nu77,2021-10-24T13:52:18.000Z,"Replying to 
@asadodedomingo",,1
Victor Vázquez,@churrivazquez,2021-10-24T01:08:38.000Z,"La NASA busca genios que consteuyan ROBOTS para cavar la luna.
Acà no podemos tapar un bache.",,16
ermy uw-u monster lover,@ermy_uw,2021-10-23T18:15:03.000Z,"Replying to 
@BrawlNoContext",,1
Nadia de Apellido Guerrero,@Nadiatiti,2021-10-22T00:14:48.000Z,"Replying to 
@juanjoneo
 and 
@MarcoPy95",,
Carlos,@carlosmaiz_,2021-10-16T14:12:38.000Z,"Replying to 
@jorgelin_",,
Marcelo González,@TioTeo,2021-10-12T14:00:15.000Z,"Replying to 
@jorgesosabogado",,
Velazquezfaustorene,@Velazquezfaust,2021-10-12T09:04:17.000Z,"Replying to 
@ElPadrillo6
 @fernandoSP81
 and 
@MaritoAbdo",1,3
Santiago Ramón Picaguá,@picaguayeru,2021-10-04T22:26:47.000Z,Eres tú Mr Robot,,
Liz,@cookierainbow_,2021-10-01T02:12:50.000Z,ROBOTS ESTA EN DISNEY ,,1
pabli,@spicypg,2021-09-24T20:33:27.000Z,"Kawhi es un robot, un robot con autismo ",,
𓆩 Bernaissj 𓆪 #12,@Bernxis,2021-09-21T20:01:10.000Z,"Replying to 
@jajajassj
 and 
@duki_modo_robot",,
Di,@Di_xXi,2021-09-17T18:29:47.000Z,"Una de las mejores inversiones de mi vida fue mi robot aspiradora.

Esperancito es parte de la familia ",,12
Diego Jacquet,@FKinesica,2021-09-16T13:20:35.000Z,En la gobernación Central hay una faltante de dinero y nuestro gobernador sigue haciendo el pasito del Robot.... Hay gente que entra con moto y sale con caminota.... Increíble lo permisivo que somos,1,2
Carli,@caarli93,2021-09-08T23:10:17.000Z,"Replying to 
@AleLzD",,
SEBA #25760,@DecanoDecuna,2021-09-02T04:16:10.000Z,"Mazinger Z episodio 66, el robot Génova M9 antes inminente derrota se dispara un tiro a la cabeza. No lo recordaba para nada... Que fuerte para la época en que lo veíamos. #reportenostalgico",,
Benjamín Arros,@BenjaminArros,2021-08-31T16:49:30.000Z,Listen to the most recent episode of my podcast: Esclavos o robot https://anchor.fm/benjamn-arros/episodes/Esclavos-o-robot-e16ne70…,,
ermy uw-u monster lover,@ermy_uw,2021-08-31T13:48:15.000Z,"Replying to 
@TheWeddeess
 and 
@youliann5",,
Osmar,@Osmarojedabz,2021-08-26T20:29:23.000Z,"Replying to 
@CandadiniOK",,
Carlos Alberto Valdez,@3CAV,2021-08-25T14:49:49.000Z,¿Dejarías que un abogado robot te defienda? https://bbc.in/3g5U5Yb,,
𓆩 Bernaissj 𓆪 #12,@Bernxis,2021-08-23T02:59:29.000Z,"Replying to 
@fire_bondar
 and 
@duki_modo_robot",,1
𓆩 Bernaissj 𓆪 #12,@Bernxis,2021-08-23T02:57:26.000Z,"Replying to 
@fire_bondar
 and 
@duki_modo_robot",,
GUSARAM,@gustavoarambulo,2021-08-17T23:16:50.000Z,Con tal que ni sea el pasito del robots del Nro2 todo bien ,,
Paraguaya Mbarete,@CinthiaRolonC,2021-08-05T01:38:50.000Z,"Replying to 
@tiatotaok
 and 
@PyoHonesto",,2
