postDate,responding
2021-11-08T15:12:30.000Z,"#TransformacionDigital en tanto y cuánto los estamentos de Estado publiquen informes de datos sobre los servicios que se dan en: medidas sobre interrupciones, tarifas, seguridad de redes se podrá hablar de apertura a la transformación @mitic @conatel"
2021-08-20T20:20:00.000Z,"Nadie habla de los cargos politicos que tiene Desire masi, de guizzio, de Arregui, de la cualquier cantidad de jefaturas que pone Esperanza Martinez en el Min de Salud. De que 3 años el Pte del Mitic fue Alejandro peralta Vierci, cupo del grupo vierci.. y millon ejemplos mas"
2021-07-30T20:37:26.000Z,"Imaginate ser un bachiller, ganar 12.500.000 en el Mitic y encima tener que pagarle sueldo mínimo a la empleada doméstica. No hay derecho, lo único que falta es que le obliguen a ponerle IPS también, estamos todos locos."
2021-06-30T20:13:40.000Z,@mitic @SenadoresPy @DiputadosPy @MaritoAbdo @PresidenciaPy El problema no es MITIC como Institución. Ambas alas: la Tecnología y la Comunicación van de la mano. Y más en el tiempo que vivimos: Transmisión efectiva. El problema es otro y lo afirmo con todas las letras.
2021-06-08T15:01:30.000Z,Loable su buena intención! Le banco! El Mitic lo que no tenía una buena estrategia de comunicación  https://twitter.com/larebelco/status/1402258140494696451…
2021-05-27T16:04:17.000Z,Asume el nuevo director de Mitic Fernando Saguier Caballero.
2021-03-10T23:49:44.000Z,"Y que esperamos de Brunetti en el MEC ?, nada, el que fué asesor, luego precandidato a intendente, cambió eso por MITIC y antes de trabajar, pasa al MEC, es algo asi como un funcionario polifuncional, donde falta alguién lo lleva"
2021-03-10T19:22:59.000Z,"Hijo de Bernardo Saguer C ( Itaipu), mano derecha de JUSTO CARDENAS (Indert), concedio miles de pozos que no se hicieron (Jose Martinez, BUNQUERS) designado interino del.MITIC.QUIEN LOS ELIGE?"
2021-03-10T15:40:37.000Z,"Este Marito es boludo de nacimiento, HC le dijo bièn que Brunetti al MEC, pero le envió al MITIC, menos mal ahora corrigió, pero ya ligó un apysarapó "
2021-03-09T22:29:58.000Z,Abogo porque el próximo Ministro de MITIC tenga el perfil técnico y la experiencia que se requiere para el alto cargo. Necesitamos técnicos con visión y capacidad de gestión pública.
2021-03-09T22:16:53.000Z,"Villamayor vio por dos segundos la cartera del MITIC libre, y quiso volver a la arena polítika."
2021-02-24T17:04:24.000Z,Día histórico !! Seguimos trabajando !!! Firma del convenio entre el MITIC y @Jem_py!! Convencidos que la tecnología es un elemento fundamental para lograr la transparencia y fomentar la seguridad jurídica
2021-02-22T22:26:34.000Z,"El MITIC es una de las instituciones mas inutiles En 3 años sin meritos salvo un presupuesto de U$ 130 millones, de cuyo destino nada se sabeEl ministro Peralta Vierci fue salvado por Marito, miembro de su entorno instalando a JM Brunetti en otro enroque politico ""a medida."
2021-02-21T14:32:39.000Z,"El q más sabe de los proyectos q marcarán historia ahí en @mitic es el ex Director General @federicoosorio7, quien configuró el MITIC y lastimosamente Peralta Vierci se desvió de lo q él le diseñó y se cansó diciéndole que a los que trajo no entendían la visión Estado y Política"
2021-02-13T17:27:02.000Z,Mitic con nuevo rumbo
2021-02-11T02:59:05.000Z,"#Politikeando #DicenQueMe contaron también que al tal @luistriguis, uno de los principales asesores en comunicación de Nenecho le ofrecieron ser Viceministro de MITIC, para abandonar al actual intendente, él rechazó la propuesta."
2020-12-29T04:33:42.000Z,Ya no se más si Telefuturo es el espacio del Mitic o el Mitic una productora para Telefuturo....
2020-11-22T02:49:59.000Z,"Dos son los pelos de la fibra óptica de este tramo están destinados al MITIC.A inicios del año que viene, se realizará la conexión de escuelas al troncal, para que tengan internet gratuito."
2020-11-16T04:02:00.000Z,"Que puede opinar una abortista sobre VIVIR Y RESPIRAR? ahora de billetera si se nota que sabe , defendiendo al gobierno corrupto de su patrón con tal de seguir saqueando a 10 manos desde el Mitic #incendiariaDeIglesias#telofacturo"
2020-10-02T19:01:52.000Z,"Combo completo de la política paraguaya hoy1-Marito desaparece durante las crisis en el país que ""gobierna"" pero aparece para apoyar a Trump2-Marly reapareció sólo para reirse de todos y3-El MITIC laburó x 1ra vez, pero sólo para eliminar las redes de Carlitos Rejala."
2020-09-09T17:35:36.000Z,Además el MITIC solicitó al Registro civil que se expida sobre la existencia o no de actas digitalizadas anteriormente.. a lo que respondieron por nota que no existía más nada de lo que fue digitalizado porque se perdió. Por de pronto el proyecto fue suspendido.
