username,handle,postDate,responding,retweets,likes
Ing. Fede Olmedo,@federicolmedo,2022-10-20T11:54:00.000Z,"en las mesas receptoras, en el PC, en el Centro de Datos, a los Apoderados, a los que ayudaron con la nemotecnia, con la estrategia, con la coordinación de campaña, con el sistema de información y herramientas tecnológicas,  a los que prestaron su auto y a los que los manejaron,",,3
Noche de los Museos - Paraguay,@nochedemuseospy,2022-05-13T22:13:41.000Z," Te esperamos mañana en el evento ""Los Museos se Muestran"" en su edición 2022

 Datos a tener en cuenta:

Centro Cultural de la ciudad Carlos Colombino / Manzana de la Rivera

 De 9 h a 22 h (horario continuado)",6,9
